Languages,Tools,Personal,Scientific,Problems
Use python before v3,Has trained or fine tuned an AI model,Has played a roleplaying game ,Attended a RSE conference,Has worked with someone who has lost their data
R proficiency,Programmed a calculator,Likes hiking,Taught a CodeRefinery course,Has run out of storage quota in the last year
C proficiency,Pushed directly to main and broke the repo,Likes swimming,Has a degree that says computer science,Has once not saved a file and lost lots of data
Thinks in shell,Has root access to a computer cluster,Likes ice swimming,Has a degree in not in the sciences,Worked with someone who has had a failed hard drive 
Used Fortran,Doesn't have admin access on their own work laptop right now,Has a pet,Has released code along with a paper,Has had a bug caused by duplicated code
Julia proficiency,Emacs is primary editor,Got into computing to play games,Has released data along with a paper,Bug that took more than a week to fix
Rust proficiency,Vi is primary editor,Lives outside of their country's capital region,,
Javascript proficiency,Connected to internet via dial-up phone line (not DSL),Lived in a different country 5 years ago (compared to now),,
,Has used GitHub Actions or similar,Likes climbing,,
,Programs for pleasure,Likes football ,,
,,Plays an instrument,,
,,Played Doom,,
,,Tells you a joke and you find it funny,,